Fwd Packet Length Min,Fwd Packet Length Mean,Flow IAT Mean,Fwd IAT Max,Bwd Packets/s,Packet Length Min,Avg Fwd Segment Size,Label,Class
516.0,516.0,1285688.2,3000714.0,0.0,516.0,516.0,TFTP,Attack
6.0,15.0,1.0,1.0,0.0,6.0,15.0,Benign,Benign
35.0,35.0,9304.333,3.0,71.6512,35.0,35.0,Benign,Benign
0.0,0.0,5768.8,0.0,173.34628,0.0,0.0,Benign,Benign
80.0,350.0,4005.8572,16810.0,0.0,80.0,350.0,DrDoS_NTP,Attack
152.0,428.92307,4.8431373,44.0,0.0,152.0,428.92307,DrDoS_NTP,Attack
33.0,33.0,6927.6665,3.0,96.2325,33.0,33.0,Benign,Benign
516.0,516.0,1000662.7,3001986.0,0.0,516.0,516.0,TFTP,Attack
0.0,0.0,16534.0,0.0,60.481434,0.0,0.0,Benign,Benign
440.0,440.0,15.521739,254.0,0.0,440.0,440.0,DrDoS_NTP,Attack
368.0,432.0,228.82353,3739.0,0.0,368.0,432.0,DrDoS_NTP,Attack
43.0,43.0,6974.0,1.0,95.593155,43.0,43.0,Benign,Benign
440.0,440.0,31.454546,122.0,0.0,440.0,440.0,DrDoS_NTP,Attack
516.0,516.0,1003636.0,3010906.0,0.0,516.0,516.0,TFTP,Attack
80.0,410.0,16.26087,109.0,0.0,80.0,410.0,DrDoS_NTP,Attack
29.0,29.0,6987.3335,5.0,95.41074,29.0,29.0,Benign,Benign
0.0,0.0,28279.0,0.0,35.36193,0.0,0.0,Benign,Benign
321.0,348.0,43462.2,110520.0,0.0,321.0,348.0,UDP,Attack
516.0,516.0,1000851.7,3002553.0,0.0,516.0,516.0,TFTP,Attack
35.0,35.0,6855.0,3.0,97.25262,35.0,35.0,Benign,Benign
0.0,0.0,54723.0,0.0,18.273851,0.0,0.0,Benign,Benign
224.0,437.54544,28.017143,356.0,0.0,224.0,437.54544,DrDoS_NTP,Attack
516.0,516.0,1000667.7,3002001.0,0.0,516.0,516.0,TFTP,Attack
